_id;initial
2241444367083643;80
2241444367083644;80
2241444367083645;80
2241444367083646;80
2241444367083647;80
2241444367083648;80
2241444367083649;80
2241444367083650;80
2241444367083651;80
2241444367083652;80
2241444367083653;80
2241444367083654;80
2241444367083655;80
2241444367083656;80
2241444367083657;80
2241444367083658;80
2241444367083659;80
2241444367083660;80
2241444367083661;80
2241444367083662;80
2241444367083663;80
2241444367083664;80
2241444367083665;80
2241444367083666;80
2241444367083667;80
2241444367083668;80
2241444367083669;80
2241444367083670;80
2241444367083671;80
2241444367083672;80
2241444367083673;80
2241444367083674;80
2241444367083675;80
2241444367083676;80
2241444367083677;80
2241444367083678;80
2241444367083679;80
2241444367083680;80
2241444367083681;80
2241444367083682;80
2241444367083683;80
2241444367083684;80
2241444367083685;80
2241444367083686;80
2241444367083687;80
2241444367083688;80
2241444367083689;80
2241444367083690;80
2241444367083691;80
2241444367083692;80
2241444367083693;80
2241444367083694;80
2241444367083695;80
2241444367083696;80
2241444367083697;80
2241444367083698;80
2241444367083699;80
2241444367083700;80
2241444367083701;80
2241444367083702;80
2241444367083703;80
2241444367083704;80
2241444367083705;80
2241444367083706;80
2241444367083707;80
2241444367083708;80
2241444367083709;80
2241444367083710;80
2241444367083711;80
2241444367083712;80
2241444367083713;80
2241444367083714;80
2241444367083715;80
2241444367083716;80
2241444367083717;80
2241444367083718;80
2241444367083719;80
