_id;initial
2241444367083120;10
2241444367083121;10
2241444367083122;10
2241444367083123;10
2241444367083124;10
2241444367083125;10
2241444367083126;10
2241444367083127;10
2241444367083128;10
2241444367083129;10
2241444367083130;10
2241444367083131;10
2241444367083132;10
2241444367083133;10
2241444367083134;10
2241444367083135;10
2241444367083136;10
2241444367083137;10
2241444367083138;10
2241444367083139;10
2241444367083140;10
2241444367083141;10
2241444367083142;10
2241444367083143;10
2241444367083144;10
2241444367083145;10
2241444367083146;10
2241444367083147;10
2241444367083148;10
2241444367083149;10
2241444367083150;10
2241444367083151;10
2241444367083152;10
2241444367083153;10
2241444367083154;10
2241444367083155;10
2241444367083156;10
2241444367083157;10
2241444367083158;10
2241444367083159;10
2241444367083160;10
2241444367083161;10
2241444367083162;10
2241444367083163;10
2241444367083164;10
2241444367083165;10
2241444367083166;10
2241444367083167;10
2241444367083168;10
2241444367083169;10
2241444367083170;10
2241444367083171;10
2241444367083172;10
2241444367083173;10
2241444367083174;10
2241444367083175;10
2241444367083176;10
2241444367083177;10
2241444367083178;10
2241444367083179;10
2241444367083180;10
2241444367083181;10
2241444367083182;10
2241444367083183;10
2241444367083184;10
2241444367083185;10
2241444367083186;10
2241444367083187;10
2241444367083188;10
2241444367083189;10
2241444367083190;10
2241444367083191;10
2241444367083192;10
2241444367083193;10
2241444367083194;10
2241444367083195;10
2241444367083196;10
2241444367083197;10
2241444367083198;10
2241444367083199;10
2241444367083200;10
2241444367083201;10
2241444367083202;10
2241444367083203;10
2241444367083204;10
2241444367083205;10
2241444367083206;10
2241444367083207;10
2241444367083208;10
2241444367083209;10
2241444367083210;10
2241444367083211;10
2241444367083212;10
2241444367083213;10
2241444367083214;10
2241444367083215;10
2241444367083216;10
2241444367083217;10
2241444367083218;10
2241444367083219;10
2241444367083220;20
2241444367083221;20
2241444367083222;20
2241444367083223;20
2241444367083224;20
2241444367083225;20
2241444367083226;20
2241444367083227;20
2241444367083228;20
2241444367083229;20
2241444367083230;20
2241444367083231;20
2241444367083232;20
2241444367083233;20
2241444367083234;20
2241444367083235;20
2241444367083236;20
2241444367083237;20
2241444367083238;20
2241444367083239;20
2241444367083240;20
2241444367083241;20
2241444367083242;20
2241444367083243;20
2241444367083244;20
2241444367083245;20
2241444367083246;20
2241444367083247;20
2241444367083248;20
2241444367083249;20
2241444367083250;20
2241444367083251;20
2241444367083252;20
2241444367083253;20
2241444367083254;20
2241444367083255;20
2241444367083256;20
2241444367083257;20
2241444367083258;20
2241444367083259;20
2241444367083260;20
2241444367083261;20
2241444367083262;20
2241444367083263;20
2241444367083264;20
2241444367083265;20
2241444367083266;20
2241444367083267;20
2241444367083268;20
2241444367083269;20
2241444367083270;20
2241444367083271;20
2241444367083272;20
2241444367083273;20
2241444367083274;20
2241444367083275;20
2241444367083276;20
2241444367083277;20
2241444367083278;20
2241444367083279;20
2241444367083280;20
2241444367083281;20
2241444367083282;20
2241444367083283;20
2241444367083284;20
2241444367083285;20
2241444367083286;20
2241444367083287;20
2241444367083288;20
2241444367083289;20
2241444367083290;20
2241444367083291;20
2241444367083292;20
2241444367083293;20
2241444367083294;20
2241444367083295;20
2241444367083296;20
2241444367083297;20
2241444367083298;20
2241444367083299;20
2241444367083300;20
2241444367083301;20
2241444367083302;20
2241444367083303;20
2241444367083304;20
2241444367083305;20
2241444367083306;20
2241444367083307;20
2241444367083308;20
2241444367083309;20
2241444367083310;20
2241444367083311;20
2241444367083312;20
2241444367083313;20
2241444367083314;20
2241444367083315;20
2241444367083316;20
2241444367083317;20
2241444367083318;20
2241444367083319;20
2241444367083320;30
2241444367083321;30
2241444367083322;30
2241444367083323;30
2241444367083324;30
2241444367083325;30
2241444367083326;30
2241444367083327;30
2241444367083328;30
2241444367083329;30
2241444367083330;30
2241444367083331;30
2241444367083332;30
2241444367083333;30
2241444367083334;30
2241444367083335;30
2241444367083336;30
2241444367083337;30
2241444367083338;30
2241444367083339;30
2241444367083340;30
2241444367083341;30
2241444367083342;30
2241444367083343;30
2241444367083344;30
2241444367083345;30
2241444367083346;30
2241444367083347;30
2241444367083348;30
2241444367083349;30
2241444367083350;30
2241444367083351;30
2241444367083352;30
2241444367083353;30
2241444367083354;30
2241444367083355;30
2241444367083356;30
2241444367083357;30
2241444367083358;30
2241444367083359;30
2241444367083360;30
2241444367083361;30
2241444367083362;30
2241444367083363;30
2241444367083364;30
2241444367083365;30
2241444367083366;30
2241444367083367;30
2241444367083368;30
2241444367083369;30
2241444367083370;30
2241444367083371;30
2241444367083372;30
2241444367083373;30
2241444367083374;30
2241444367083375;30
2241444367083376;30
2241444367083377;30
2241444367083378;30
2241444367083379;30
2241444367083380;30
2241444367083381;30
2241444367083382;30
2241444367083383;30
2241444367083384;30
2241444367083385;30
2241444367083386;30
2241444367083387;30
2241444367083388;30
2241444367083389;30
2241444367083390;30
2241444367083391;30
2241444367083392;30
2241444367083393;30
2241444367083394;30
2241444367083395;30
2241444367083396;30
2241444367083397;30
2241444367083398;30
2241444367083399;30
2241444367083400;30
